,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
595,1654,,1,4,3,2,0,1,0,0,0,0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,4,3,4,2,1,0,0,0,0,1,0,0,0,,2,,,,,,,,,,,,,,,98.0,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,1,3,3,3,3,3.0,3,1.0,2.0,1.0,1.0,4,4,4,4,,,,,,,1,3,2,2,3,3,3,1,2,1.0,0,0,0,0,0,1,2,1,2,2,2.0,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,4,4,2,3,4,4,0,0,0,0,0,0,1,4,1,1,4,1,2,1.0,13,14.0,1.0,1,1,14,1,3,1,3,4,0,0,2,0,2,20180311,20.21666667,2,2,,0.542114407
596,1655,,2,4,2,3,0,1,1,0,1,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,2,1,4,3,3,2,1,0,1,1,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,2,3.0,3.0,2.0,3.0,0,0,0,0,0,1,1,0,1,1,1,1,3,2,2.0,3,1.0,1.0,2.0,2.0,3,3,3,1,1.0,1.0,0.0,1.0,0.0,0.0,1,2,1,1,1,1,1,2,1,2.0,0,0,0,0,0,1,2,2,2,3,3.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1,2,1,1,3,2,2,2,3,3,1,0,1,0,0,0,0,1,1,1,2,1,1,1.0,13,9.0,1.0,3,2,6,1,4,1,1,5,0,0,2,1,2,20180409,30.05,2,2,,2.563096496
597,1656,,1,2,2,3,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98,1,1,2,3,4,4,2,1,0,1,1,0,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,3,4.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,2,2,1,2,3,3,3.0,3,1.0,1.0,1.0,1.0,3,4,3,3,,,,,,,3,3,2,3,2,3,3,1,1,1.0,0,0,1,0,0,0,3,3,3,3,3.0,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,1,4,1,1,1,1,2,1.0,15,8.0,4.0,3,2,1,0,4,1,1,2,0,0,0,0,2,20180310,11.8,2,2,,1.928571416
598,1657,,1,2,2,3,0,1,0,0,0,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2,1,1,2,2,4,2,1,0,1,0,1,0,0,0,0,4.0,2,,,,,,,,,1.0,,,,,,,,2,2.0,3.0,2.0,2.0,1,0,1,0,0,0,1,0,2,2,2,2,3,3,3.0,2,2.0,1.0,2.0,1.0,3,3,3,4,,,,,,,1,3,1,2,1,2,3,1,1,1.0,1,0,0,0,0,0,2,1,1,3,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,1,1,2,4,4,2,3,4,1,1,0,0,0,0,0,2,2,1,4,1,2,2.0,13,11.0,2.0,3,2,6,1,4,1,1,4,2,0,0,0,1,20180317,7.116666667,2,2,,0.285861662
599,1658,,2,2,1,3,0,0,0,1,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,1,0,1,1,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,2,3.0,2.0,4.0,2.0,1,0,0,0,0,0,1,0,2,3,1,2,2,3,2.0,2,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,1,2,2,2,3,3,3,1,1,1.0,1,0,0,0,0,0,2,2,1,3,3.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,2,2,1,1,3,4,3,2,3,2,0,0,0,0,0,0,1,2,3,1,4,3,2,1.0,14,12.0,1.0,2,2,10,1,2,1,1,4,0,0,1,1,2,20180323,30.0,2,2,,1.030736118
600,1659,,1,1,1,3,0,1,1,0,0,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,4,4,1,1,1,1,1,1,1,0,0,0,1.0,1,,,,,,1.0,,,,,,,,,,,1,1.0,2.0,3.0,2.0,1,1,0,1,0,1,1,0,1,2,1,2,3,3,1.0,2,1.0,1.0,2.0,1.0,2,2,2,1,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,2,2,1,1.0,0,0,0,0,0,1,2,1,1,4,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3,3,3,3,1,4,4,3,1,3,0,0,0,0,1,1,0,1,1,1,4,1,4,2.0,16,12.0,1.0,1,2,10,1,2,1,3,4,0,0,2,0,2,20180408,17.43333333,2,2,,0.267425925
601,1660,,1,2,1,3,0,0,0,1,1,0,3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,4,1,4,1,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,2,1,2,2,3,3,3.0,3,1.0,2.0,2.0,2.0,2,2,1,2,0.0,0.0,0.0,0.0,1.0,0.0,2,4,2,2,1,1,3,2,2,2.0,1,0,0,0,0,0,2,2,1,1,2.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,4,1.0,17,12.0,1.0,1,1,12,1,3,1,2,4,0,0,0,1,3,20180316,12.21666667,2,2,,0.272657958
602,1661,,2,3,2,1,0,0,1,0,0,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,2,4,1,1,0,0,0,1,1,0,0,0,5.0,2,,,,,,,,,,,,,,,98.0,,2,4.0,4.0,3.0,4.0,1,0,0,0,0,0,0,0,3,2,2,2,2,1,2.0,2,2.0,2.0,1.0,2.0,2,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,2,3,2,2,1,2,2,2,1,2.0,0,0,1,0,0,0,2,2,2,2,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1,1,1,1,4,4,3,1,2,2,0,0,1,0,0,0,0,2,1,1,4,1,1,2.0,15,10.0,4.0,1,1,16,1,4,1,4,5,0,0,0,0,1,20180313,15.21666667,2,2,,2.68382787
603,1662,,1,3,1,2,0,1,0,0,1,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1,4,3,4,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,1,3.0,1.0,3.0,4.0,1,1,1,0,1,0,1,0,1,1,2,2,2,3,1.0,1,1.0,2.0,1.0,2.0,2,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,3,77,77,77,2,3,2,1,1,1.0,1,0,1,0,1,0,1,1,1,2,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,2,3,1,2,2,4,3,3,2,3,1,0,1,0,0,0,0,4,1,4,3,1,2,2.0,16,10.0,1.0,1,1,13,1,4,1,3,3,0,0,0,1,2,20180409,30.26666667,2,2,,0.514774419
604,1663,,2,2,1,3,0,0,0,0,0,1,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,1,4,1,1,1,1,1,1,1,0,0,0,4.0,1,,,,,1.0,,,,,,,,,,,,3,2.0,4.0,2.0,4.0,0,0,0,0,0,0,0,1,2,3,2,3,3,3,3.0,3,1.0,1.0,1.0,1.0,4,4,4,3,,,,,,,3,2,3,2,3,3,3,1,1,1.0,0,0,0,0,1,0,2,2,3,2,3.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1,1,2,2,2,2,1,2,2,0,0,0,0,0,0,1,1,1,1,4,1,1,1.0,14,12.0,4.0,1,2,14,1,4,1,3,4,0,0,0,1,3,20180323,55.3,2,2,,0.430137048
605,1664,,2,4,1,2,0,1,1,0,0,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,3,1,1,1,0,1,1,0,1,0,5.0,1,1.0,,,,,,,,,,,,,,,,3,4.0,2.0,4.0,3.0,1,0,0,0,0,0,0,0,3,1,2,2,2,2,2.0,1,2.0,2.0,2.0,1.0,3,4,4,3,,,,,,,1,2,2,1,1,1,1,2,1,1.0,0,0,0,0,0,1,2,1,1,4,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,1,1,2,2,2,4,2,3,4,4,0,0,0,0,0,0,1,3,2,4,4,2,4,1.0,15,12.0,1.0,1,1,4,1,4,1,2,3,1,0,0,0,2,20180322,9.766666667,2,2,,1.732196477
606,1665,,2,4,3,2,0,1,0,1,1,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,4,2,3,1,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,4,2.0,3.0,2.0,4.0,0,0,0,0,0,0,0,1,3,3,2,2,3,3,3.0,3,1.0,1.0,1.0,1.0,3,4,4,3,,,,,,,2,77,1,1,1,3,1,1,2,2.0,0,0,0,0,0,1,1,2,1,3,3.0,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,1,1,2,1,3,3,2,2,1,3,0,0,0,0,0,0,1,2,3,4,4,3,2,1.0,14,13.0,1.0,1,2,10,1,2,1,4,5,0,0,0,1,4,20180323,16.56666667,2,2,,0.524132654
607,1666,,1,4,4,2,0,0,1,1,1,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,0,2.0,1,,,,,1.0,,,,,,,,,,,,1,2.0,3.0,2.0,4.0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,1.0,1,1.0,1.0,2.0,1.0,4,4,4,2,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,2,2,2.0,1,0,0,0,1,0,1,2,1,3,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,98,1,1,1,2,4,2,2,2,3,0,0,0,0,0,0,1,2,1,1,3,1,2,2.0,16,10.0,4.0,4,2,7,1,4,1,3,6,0,1,2,1,2,20180311,15.8,2,2,,0.731851069
609,1668,,1,3,2,2,0,0,1,0,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,3,4,4,1,1,1,0,1,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,2,1.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3.0,3,1.0,1.0,1.0,1.0,4,4,4,4,,,,,,,2,2,2,2,3,3,2,1,1,1.0,1,0,0,0,1,0,1,1,1,4,2.0,2.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,3,3,2,2,3,4,4,1,4,4,0,0,0,0,0,0,1,1,1,1,2,1,4,2.0,15,10.0,1.0,2,1,5,1,4,1,3,3,0,0,0,1,2,20180329,11.61666667,2,2,,0.929762952
610,1669,,2,2,3,3,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,1,1,0,1,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,2,3.0,3.0,3.0,3.0,1,0,0,0,0,0,0,0,2,2,2,1,3,3,3.0,2,2.0,1.0,2.0,1.0,2,2,3,2,1.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,2,3,1,1,1.0,0,0,1,0,0,0,2,2,2,2,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1,2,2,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,4,1,1,1.0,16,9.0,4.0,1,2,4,1,4,1,3,3,0,0,0,1,2,20180309,17.63333333,2,2,,0.1000542
611,1670,,2,3,1,2,0,0,1,0,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,4,1,1,1,1,1,1,1,1,0,0,4.0,2,,,,,,,,,1.0,,,,,,,,1,1.0,2.0,2.0,3.0,0,1,0,1,1,1,1,0,2,3,2,2,2,1,1.0,2,2.0,2.0,2.0,2.0,3,3,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,1,1,3,1,1,1.0,1,1,1,1,1,0,2,2,1,2,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1,1,1,1,4,2,2,1,2,2,1,0,1,0,0,1,0,1,3,2,2,2,2,2.0,14,11.0,3.0,3,1,9,1,4,1,3,4,0,0,1,1,2,20180407,20.03333333,2,2,,1.179303319
612,1671,,1,2,1,1,0,1,0,0,0,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,4,2,1,1,0,1,1,0,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,2.0,2.0,3.0,1,0,0,0,0,0,0,0,2,2,2,1,3,2,3.0,3,1.0,1.0,2.0,1.0,2,2,3,2,1.0,1.0,0.0,0.0,0.0,0.0,2,77,77,3,1,3,3,2,1,1.0,1,0,0,0,0,0,1,2,2,2,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1,2,1,1,2,4,2,3,3,2,1,0,1,0,1,0,0,2,2,4,1,2,1,1.0,16,11.0,1.0,1,1,5,1,4,0,2,4,0,0,0,1,3,20180408,39.43333333,2,2,,1.973487386
613,1672,,1,2,1,3,0,1,0,0,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,5.0,1,,,,,1.0,,,,,,,,,,,,3,4.0,4.0,3.0,4.0,0,0,1,0,0,0,0,0,1,1,1,1,2,3,3.0,1,1.0,1.0,2.0,1.0,2,2,4,1,1.0,0.0,0.0,1.0,1.0,0.0,1,3,1,2,1,2,3,2,2,2.0,1,0,1,0,1,0,1,1,1,2,3.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1,1,1,1,3,4,2,2,4,4,1,1,1,0,0,0,0,1,2,1,4,1,1,2.0,13,12.0,1.0,1,1,18,1,2,1,3,3,0,0,1,0,2,20180322,20.48333333,2,2,,2.886971997
614,1673,,1,4,4,2,1,1,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,3,2,1,0,1,0,1,0,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,2,2.0,3.0,3.0,3.0,1,0,0,0,0,0,1,0,2,2,2,3,1,1,1.0,2,2.0,2.0,2.0,2.0,4,4,2,2,1.0,1.0,0.0,0.0,0.0,0.0,77,77,4,2,1,1,1,2,1,2.0,0,1,1,0,0,0,3,2,1,1,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,2,1,1,1,3,4,4,3,2,4,1,0,0,0,0,1,0,2,1,2,4,2,2,1.0,14,13.0,4.0,1,1,9,1,2,1,4,3,0,0,0,0,1,20180330,11.4,2,2,,0.074216445
617,1676,,2,1,2,2,0,1,0,1,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,3,3,1,1,0,0,0,1,1,0,0,0,4.0,1,,1.0,,,,,,,,,,,,,,,4,3.0,2.0,2.0,4.0,1,0,0,0,0,0,0,0,1,2,1,1,3,2,3.0,2,1.0,1.0,2.0,1.0,3,2,4,4,,,,,,,2,3,2,1,1,1,3,1,2,1.0,0,1,0,0,1,0,1,1,2,2,1.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,3,2,2,2,3,3,0,0,0,0,0,0,1,2,1,3,2,1,2,2.0,16,12.0,1.0,2,1,17,1,2,1,1,4,0,0,1,1,2,20180309,16.2,2,2,,0.583109121
618,1677,,2,3,1,3,0,1,0,1,1,0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,4,4,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,3.0,1.0,4.0,1,0,1,0,0,0,0,0,1,1,1,1,3,2,3.0,3,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,1,3,1,1,1,1,3,1,1,1.0,0,0,0,1,0,0,1,2,1,3,3.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1,1,1,1,3,3,2,1,2,4,1,1,1,0,0,0,0,4,2,2,4,2,3,2.0,13,12.0,1.0,2,2,15,1,4,1,2,5,0,1,1,1,2,20180322,19.73333333,2,2,,0.887653661
619,1678,,2,3,2,2,0,1,0,0,0,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,1,0,1,1,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,2,4.0,2.0,2.0,3.0,0,1,0,0,0,0,0,0,1,2,1,3,3,2,1.0,1,2.0,1.0,2.0,1.0,4,4,3,3,,,,,,,1,2,1,2,1,3,3,2,2,1.0,1,0,0,0,0,0,2,2,1,2,2.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,1,2,2,1,4,4,3,4,4,3,0,0,1,0,0,0,0,2,3,3,4,3,1,1.0,15,13.0,2.0,1,1,15,1,4,1,3,5,0,0,0,2,3,20180405,12.05,2,2,,1.748242065
622,1681,,1,1,2,3,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,2,4,3,4,2,2,0,1,0,0,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,1,2.0,2.0,2.0,4.0,1,0,1,0,0,0,1,0,2,2,2,2,2,1,2.0,2,1.0,1.0,2.0,1.0,2,3,2,2,1.0,1.0,0.0,1.0,1.0,0.0,3,3,2,2,1,3,,1,2,,1,0,0,0,1,0,2,2,1,2,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1,2,2,1,3,3,4,2,2,4,1,0,1,0,0,0,0,2,1,1,1,1,1,2.0,14,13.0,4.0,1,3,13,1,4,1,4,4,0,1,1,0,2,20180331,25.06666667,2,2,,0.430153861
623,1682,,1,2,2,1,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2,2,2,3,2,0,0,1,1,0,0,0,0,3.0,1,,,,,1.0,,,,,,,,,,,,2,2.0,2.0,2.0,2.0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,1.0,1,2.0,1.0,2.0,2.0,2,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,2,2,2,2,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,98,2,2,1,2,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,2.0,15,13.0,1.0,1,1,11,1,2,1,4,1,0,0,0,0,1,20180312,4.1,2,2,,0.439960957
624,1683,,2,3,1,2,0,0,1,1,1,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,4,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,3,3.0,2.0,2.0,4.0,0,0,1,0,0,0,0,0,3,3,2,3,3,2,2.0,2,2.0,1.0,2.0,1.0,3,3,3,3,,,,,,,3,4,4,3,1,1,2,2,2,2.0,0,0,1,0,0,0,2,3,2,3,3.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3,2,3,2,3,4,2,2,2,3,0,0,0,0,0,0,1,3,1,1,3,2,1,2.0,13,11.0,1.0,1,1,18,1,2,1,3,1,0,0,0,0,1,20180409,11.45,2,2,,2.774272523
625,1684,,2,2,1,3,1,0,1,0,0,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,2,1,0,1,0,0,1,0,0,0,5.0,1,,,,,,,,,,,,,,,98.0,,3,4.0,2.0,1.0,4.0,1,0,0,0,0,0,0,0,2,2,1,2,2,2,1.0,2,1.0,1.0,2.0,1.0,3,3,2,1,1.0,0.0,0.0,0.0,0.0,0.0,3,3,2,1,3,3,3,2,2,2.0,1,0,0,0,0,0,1,1,2,3,2.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2,3,3,3,3,4,3,3,2,4,0,0,1,0,1,0,0,1,2,1,4,2,2,1.0,13,14.0,3.0,1,1,14,0,2,1,2,6,0,0,1,0,5,20180310,19.5,2,2,,1.017119285
627,1686,,1,2,2,3,0,0,0,0,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,3,4,4,1,1,0,1,1,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,2,3.0,4.0,2.0,4.0,0,0,0,0,0,0,0,1,2,1,2,2,3,3,3.0,3,2.0,1.0,2.0,1.0,3,2,2,2,0.0,0.0,0.0,0.0,0.0,1.0,2,3,3,77,3,3,2,2,2,1.0,1,0,0,0,0,0,2,2,2,3,3.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1,1,1,1,4,4,4,3,3,4,0,0,0,0,0,0,1,3,3,2,4,1,2,2.0,16,10.0,3.0,1,1,14,1,2,1,4,2,0,0,0,0,1,20180327,26.78333333,2,2,,2.329430067
628,1687,,1,1,1,3,0,0,0,1,0,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,98,3,1,1,0,0,0,0,1,1,0,0,5.0,1,,,,,,,,,,,,,,,98.0,,4,2.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,3,1,3,3,3,3.0,3,2.0,1.0,2.0,1.0,3,3,2,4,,,,,,,1,77,77,98,3,3,2,2,1,2.0,1,0,0,0,0,0,3,3,4,4,4.0,4.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,3,3,3,3,98,98,98,98,98,98,0,0,0,0,0,0,1,2,1,2,1,1,4,1.0,15,13.0,1.0,1,2,8,1,4,1,3,4,0,1,1,0,2,20180403,21.78333333,2,2,,0.62834838
629,1688,,2,3,2,1,0,0,0,1,0,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,3,3,3,1,1,1,1,1,1,1,0,0,0,3.0,1,1.0,,,1.0,,1.0,,,,,,,,,,,1,2.0,2.0,1.0,1.0,1,1,1,0,0,0,1,0,2,1,2,1,3,3,3.0,3,1.0,1.0,2.0,1.0,1,3,2,2,1.0,0.0,0.0,1.0,0.0,0.0,2,1,2,1,1,1,2,1,1,1.0,0,0,0,0,1,0,1,1,1,3,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1,1,1,1,1,2,2,1,2,2,1,0,1,1,0,1,0,1,1,1,2,1,1,2.0,15,8.0,4.0,1,2,5,0,4,1,4,5,1,0,0,0,4,20180309,18.86666667,2,2,,1.160983924
630,1689,,1,2,2,3,1,0,1,0,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,3,4,4,2,1,1,1,0,1,1,1,0,0,2.0,2,,,,,,,,,1.0,,,,,,,,2,3.0,3.0,4.0,4.0,0,0,0,0,0,0,1,0,2,2,2,2,3,2,2.0,1,1.0,1.0,2.0,2.0,2,2,1,2,1.0,1.0,0.0,0.0,0.0,0.0,2,1,1,3,3,3,3,1,1,1.0,0,0,1,0,1,0,1,1,2,3,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,1,1,2,2,1,2,4,1,2,1,1,1,1,0,1,0,0,3,1,1,2,1,1,2.0,13,9.0,2.0,4,1,3,1,2,1,3,5,0,0,1,0,4,20180324,22.53333333,2,2,,1.20058432
